,ts,id,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8
0,2023-02-24T00:25:20,7463831497,441.11,201.33,71.66,109.12,547.87,928.63,847.05,831.68
1,2023-02-24T00:25:20.005000,7463831498,442.13,202.22,71.92,109.32,547.62,929.16,846.93,832.13
2,2023-02-24T00:25:20.010000,7463831499,442.2,201.71,71.72,109.24,548.11,928.39,847.18,831.86
3,2023-02-24T00:25:20.015000,7463831500,442.72,201.92,72.27,109.06,547.85,928.97,847.1,832.26
4,2023-02-24T00:25:20.020000,7463831501,442.31,201.62,72.23,109.32,547.92,929.25,847.4,831.97
5,2023-02-24T00:25:20.025000,7463831502,442.12,201.75,72.18,109.1,547.56,929.08,846.67,831.95
6,2023-02-24T00:25:20.030000,7463831503,442.34,202.03,71.91,109.42,547.75,929.08,847.37,832.47
7,2023-02-24T00:25:20.035000,7463831504,442.28,201.01,71.51,109.32,547.46,929.33,846.58,831.88
8,2023-02-24T00:25:20.040000,7463831505,442.3,201.74,71.83,108.97,547.64,929.11,846.2,832.03
9,2023-02-24T00:25:20.045000,7463831506,441.79,201.67,72.05,108.87,547.09,929.18,846.75,831.8
10,2023-02-24T00:25:20.050000,7463831507,442.41,202.66,72.49,109.77,547.84,929,847.29,832.18
11,2023-02-24T00:25:20.055000,7463831508,442.25,201.79,72.66,109.39,547.48,929.01,847.41,831.95
12,2023-02-24T00:25:20.060000,7463831509,442.37,201.44,71.94,109.1,548.1,928.52,847.01,831.12
13,2023-02-24T00:25:20.065000,7463831510,442.12,201.37,72.77,109.13,547.24,928.73,846.95,831.77
14,2023-02-24T00:25:20.070000,7463831511,442.21,201.63,72.44,109.1,547.46,929.74,847.21,831.93
15,2023-02-24T00:25:20.075000,7463831512,442.29,201.92,71.99,109.08,547.19,929.26,847.41,831.92
16,2023-02-24T00:25:20.080000,7463831513,441.7,202.4,72.17,109.29,547.67,928.29,847.08,831.91
17,2023-02-24T00:25:20.085000,7463831514,442.64,201.68,72.24,109.11,547.24,929.22,847.12,832.36
18,2023-02-24T00:25:20.090000,7463831515,442.65,202.33,72.34,109.55,548.24,928.71,847.77,832.18
19,2023-02-24T00:25:20.095000,7463831516,442.83,202.29,72.39,109.09,547.68,928.96,847.9,831.37
20,2023-02-24T00:25:20.100000,7463831517,442.23,202.09,72.18,108.79,547.94,928.81,847.48,831.68
21,2023-02-24T00:25:20.105000,7463831518,443.1,201.62,72.58,109.88,548.4,929.14,847.12,831.41
22,2023-02-24T00:25:20.110000,7463831519,442.14,202.07,72.96,109.45,548.17,928.7,847.52,831.33
23,2023-02-24T00:25:20.115000,7463831520,443.04,202.07,72.61,109.46,547.45,929.41,847.4,832.03
24,2023-02-24T00:25:20.120000,7463831521,442.4,202.14,72.51,108.69,547.53,929.21,847.07,832.71
25,2023-02-24T00:25:20.125000,7463831522,441.94,201.79,72.34,109.01,547.77,929.26,846.84,831.89
26,2023-02-24T00:25:20.130000,7463831523,442.42,201.81,72.61,110,547.86,929.06,847.86,832.47
27,2023-02-24T00:25:20.135000,7463831524,442.69,201.51,72.1,108.9,547.99,929.36,847.21,832.02
28,2023-02-24T00:25:20.140000,7463831525,443.07,201.79,72.24,109.14,547.87,928.55,846.89,832.35
29,2023-02-24T00:25:20.145000,7463831526,442.46,201.88,72.46,109.12,547.65,928.78,847.16,832.11
30,2023-02-24T00:25:20.150000,7463831527,441.82,202.13,71.89,109.68,548.08,929.22,846.79,832.07
31,2023-02-24T00:25:20.155000,7463831528,442.48,201.72,72.29,109.15,547.61,929.39,847.3,831.76
